experiment_type,parameter_value,run,hidden_layers,activation,optimizer,batch_size,epochs,training_time,train_mse,train_rmse,train_mae,test_mse,test_rmse,test_mae,train_accuracy,test_accuracy,train_loss,test_loss
neurons,128_neurons,5,[128],relu,sgd,32,50,1.310133695602417,0.7666666666666666,0.8755950357709131,0.7666666666666666,0.7416666666666667,0.8612007121842542,0.7416666666666667,0.23333333333333334,0.25833333333333336,1.735594002617795,1.7286043482709736
neurons,128_neurons,6,[128],relu,sgd,32,50,1.4680767059326172,0.6416666666666666,0.801040989379861,0.6416666666666666,0.6916666666666667,0.83166499665831,0.6916666666666667,0.35833333333333334,0.30833333333333335,1.6875391522366705,1.7114544218952186
neurons,128_neurons,7,[128],relu,sgd,32,50,1.6288318634033203,0.68125,0.8253787009609589,0.68125,0.7333333333333334,0.8563488385776753,0.7333333333333334,0.31875,0.26666666666666666,1.6855456613747706,1.7041418957130816
neurons,128_neurons,8,[128],relu,sgd,32,50,1.4371795654296875,0.7166666666666667,0.8465616732800196,0.7166666666666667,0.75,0.8660254037844386,0.75,0.2833333333333333,0.25,1.6898819550028028,1.7501092142458063
neurons,128_neurons,9,[128],relu,sgd,32,50,1.4650146961212158,0.7125,0.8440971508067067,0.7125,0.7333333333333334,0.8563488385776753,0.7333333333333334,0.2875,0.26666666666666666,1.7029963158128294,1.7211104624821039
neurons,128_neurons,10,[128],relu,sgd,32,50,1.2032890319824219,0.7041666666666666,0.8391463916782737,0.7041666666666666,0.75,0.8660254037844386,0.75,0.29583333333333334,0.25,1.7074149409767996,1.712100548494025
activation,relu,1,"[64, 32]",relu,sgd,32,50,1.0236155986785889,0.6708333333333334,0.8190441583537077,0.6708333333333334,0.6666666666666667,0.816496580927726,0.6666666666666667,0.32916666666666666,0.3333333333333333,1.7190113007192598,1.7389510409794204
activation,relu,2,"[64, 32]",relu,sgd,32,50,0.9977664947509766,0.7791666666666667,0.8827041784576907,0.7791666666666667,0.7916666666666666,0.8897565210026093,0.7916666666666666,0.22083333333333333,0.20833333333333334,1.722561727529533,1.7481640685707522
activation,relu,3,"[64, 32]",relu,sgd,32,50,1.1248257160186768,0.7479166666666667,0.8648217542746405,0.7479166666666667,0.8083333333333333,0.8990735972840785,0.8083333333333333,0.2520833333333333,0.19166666666666668,1.7250678329239582,1.7522275874646331
activation,relu,4,"[64, 32]",relu,sgd,32,50,0.992713451385498,0.7625,0.873212459828649,0.7625,0.775,0.8803408430829505,0.775,0.2375,0.225,1.740290374606615,1.7656399681547206
activation,relu,5,"[64, 32]",relu,sgd,32,50,1.0274064540863037,0.7729166666666667,0.8791567929935289,0.7729166666666667,0.8,0.8944271909999159,0.8,0.22708333333333333,0.2,1.7474436544681415,1.7762778680927933
activation,relu,6,"[64, 32]",relu,sgd,32,50,0.9637331962585449,0.6958333333333333,0.8341662504161466,0.6958333333333333,0.725,0.85146931829632,0.725,0.30416666666666664,0.275,1.7218663035261101,1.7518502443661386
activation,relu,7,"[64, 32]",relu,sgd,32,50,1.0725457668304443,0.71875,0.8477912478906585,0.71875,0.7416666666666667,0.8612007121842542,0.7416666666666667,0.28125,0.25833333333333336,1.7401834217713985,1.7630625758197553
activation,relu,8,"[64, 32]",relu,sgd,32,50,1.1130218505859375,0.7145833333333333,0.8453303101943839,0.7145833333333333,0.7333333333333334,0.8563488385776753,0.7333333333333334,0.28541666666666665,0.26666666666666666,1.721416496210945,1.7225938693340979
activation,relu,9,"[64, 32]",relu,sgd,32,50,1.178269624710083,0.7041666666666666,0.8391463916782737,0.7041666666666666,0.8166666666666667,0.9036961141150639,0.8166666666666667,0.29583333333333334,0.18333333333333332,1.7118625843377595,1.7481618720289542
activation,relu,10,"[64, 32]",relu,sgd,32,50,1.3525052070617676,0.7416666666666667,0.8612007121842542,0.7416666666666667,0.7833333333333333,0.8850612031567836,0.7833333333333333,0.25833333333333336,0.21666666666666667,1.7506177822666624,1.7720332227115927
activation,sigmoid,1,"[64, 32]",sigmoid,sgd,32,50,1.1848323345184326,0.8416666666666667,0.917423929634859,0.8416666666666667,0.8083333333333333,0.8990735972840785,0.8083333333333333,0.15833333333333333,0.19166666666666668,1.8058579656001315,1.8117703287077545
activation,sigmoid,2,"[64, 32]",sigmoid,sgd,32,50,0.8794643878936768,0.8270833333333334,0.9094412203838869,0.8270833333333334,0.825,0.9082951062292475,0.825,0.17291666666666666,0.175,1.8143104249826483,1.8226575164313341
activation,sigmoid,3,"[64, 32]",sigmoid,sgd,32,50,0.8341109752655029,0.8416666666666667,0.917423929634859,0.8416666666666667,0.775,0.8803408430829505,0.775,0.15833333333333333,0.225,1.8097901560623277,1.7837780272032204
